"screen_name";"username";"user_id";"tweet_id";"tweet_url";"timestamp";"timestamp_epochs";"text";"text_html";"links";"hashtags";"has_media";"img_urls";"video_url";"likes";"retweets";"replies";"is_replied";"is_reply_to";"parent_tweet_id";"reply_to_users"
"Jashone8";"Jo Ann Hernesmaa";"283044532";"583174830935007232";"/Jashone8/status/583174830935007232";"2015-04-01 07:51:29";1427874689;"@DetroitPistons @DancingABC @h3lio @TheDancingUsher @StateFarm @detroitgp H3lio still has his moves.";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""16727749"" dir=""ltr"" href=""/DetroitPistons""><s>@</s><b>DetroitPistons</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""16222584"" dir=""ltr"" href=""/DancingABC""><s>@</s><b>DancingABC</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""37050345"" dir=""ltr"" href=""/h3lio""><s>@</s><b>h3lio</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1239481184"" dir=""ltr"" href=""/TheDancingUsher""><s>@</s><b>TheDancingUsher</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""15091022"" dir=""ltr"" href=""/StateFarm""><s>@</s><b><strong>StateFarm</strong></b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""194583201"" dir=""ltr"" href=""/detroitgp""><s>@</s><b>detroitgp</b></a> H3lio still has his moves.</p>";"[]";"[]";False;"[]";"";1;1;0;False;True;"583083014030159873";"[{'screen_name': 'DetroitPistons', 'user_id': '16727749'}]"
"skybaaabe";"Skyler🥵🥵";"2923117422";"575502197485502464";"/skybaaabe/status/575502197485502464";"2015-03-11 03:43:10";1426045390;"Like a good neighbor state farm is there";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Like a good neighbor <strong>state farm</strong> is there</p>";"[]";"[]";False;"[]";"";0;0;1;True;False;"";"[]"
"1and_only_burse";"Jimmy 🕊";"828314773";"566797246541221891";"/1and_only_burse/status/566797246541221891";"2015-02-15 03:12:48";1423969968;"AHAHAH the State Farm team ";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">AHAHAH the <strong>State Farm</strong> team <img alt=""😂"" aria-label=""Emoji: Face with tears of joy"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f602.png"" title=""Face with tears of joy""/><img alt=""😂"" aria-label=""Emoji: Face with tears of joy"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f602.png"" title=""Face with tears of joy""/></p>";"[]";"[]";False;"[]";"";0;0;0;False;False;"";"[]"
"Jashone8";"Jo Ann Hernesmaa";"283044532";"583174830935007232";"/Jashone8/status/583174830935007232";"2015-04-01 07:51:29";1427874689;"@DetroitPistons @DancingABC @h3lio @TheDancingUsher @StateFarm @detroitgp H3lio still has his moves.";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""16727749"" dir=""ltr"" href=""/DetroitPistons""><s>@</s><b>DetroitPistons</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""16222584"" dir=""ltr"" href=""/DancingABC""><s>@</s><b>DancingABC</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""37050345"" dir=""ltr"" href=""/h3lio""><s>@</s><b>h3lio</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1239481184"" dir=""ltr"" href=""/TheDancingUsher""><s>@</s><b>TheDancingUsher</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""15091022"" dir=""ltr"" href=""/StateFarm""><s>@</s><b><strong>StateFarm</strong></b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""194583201"" dir=""ltr"" href=""/detroitgp""><s>@</s><b>detroitgp</b></a> H3lio still has his moves.</p>";"[]";"[]";False;"[]";"";1;1;0;False;True;"583083014030159873";"[{'screen_name': 'DetroitPistons', 'user_id': '16727749'}]"
"Raidermike78";"Silky Slim";"247210345";"1191116277365952512";"/Raidermike78/status/1191116277365952512";"2019-11-03 22:13:45";1572819225;"Arron Rodgers clearly don’t like his agent. He would rather have his State Farm agent. Dude just fire him already";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Arron Rodgers clearly don’t like his agent. He would rather have his <strong>State Farm</strong> agent. Dude just fire him already</p>";"[]";"[]";False;"[]";"";1;1;0;False;False;"";"[]"
"Raidermike78";"Silky Slim";"247210345";"1191116277365952512";"/Raidermike78/status/1191116277365952512";"2019-11-03 22:13:45";1572819225;"Arron Rodgers clearly don’t like his agent. He would rather have his State Farm agent. Dude just fire him already";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Arron Rodgers clearly don’t like his agent. He would rather have his <strong>State Farm</strong> agent. Dude just fire him already</p>";"[]";"[]";False;"[]";"";1;1;0;False;False;"";"[]"
"shaunpinkerton";"Shaun Pinkerton";"137918610";"1168668982267695104";"/shaunpinkerton/status/1168668982267695104";"2019-09-02 23:36:12";1567467372;"@GEICO bumping my premium up again.  No accidents or claims the whole time I have been a customer.   Time to shop around @Allstate @StateFarm @Progressive @WeAreFarmers";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""22009780"" dir=""ltr"" href=""/GEICO""><s>@</s><b>GEICO</b></a> bumping my premium up again.  No accidents or claims the whole time I have been a customer.   Time to shop around <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""14275290"" dir=""ltr"" href=""/Allstate""><s>@</s><b>Allstate</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""15091022"" dir=""ltr"" href=""/StateFarm""><s>@</s><b><strong>StateFarm</strong></b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""3331681"" dir=""ltr"" href=""/Progressive""><s>@</s><b>Progressive</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""36568063"" dir=""ltr"" href=""/WeAreFarmers""><s>@</s><b>WeAreFarmers</b></a></p>";"[]";"[]";False;"[]";"";0;0;2;True;False;"";"[]"
"shaunpinkerton";"Shaun Pinkerton";"137918610";"1168668982267695104";"/shaunpinkerton/status/1168668982267695104";"2019-09-02 23:36:12";1567467372;"@GEICO bumping my premium up again.  No accidents or claims the whole time I have been a customer.   Time to shop around @Allstate @StateFarm @Progressive @WeAreFarmers";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""22009780"" dir=""ltr"" href=""/GEICO""><s>@</s><b>GEICO</b></a> bumping my premium up again.  No accidents or claims the whole time I have been a customer.   Time to shop around <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""14275290"" dir=""ltr"" href=""/Allstate""><s>@</s><b>Allstate</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""15091022"" dir=""ltr"" href=""/StateFarm""><s>@</s><b><strong>StateFarm</strong></b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""3331681"" dir=""ltr"" href=""/Progressive""><s>@</s><b>Progressive</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""36568063"" dir=""ltr"" href=""/WeAreFarmers""><s>@</s><b>WeAreFarmers</b></a></p>";"[]";"[]";False;"[]";"";0;0;2;True;False;"";"[]"
"gbcreque";"Geri Creque";"237177347";"1114470884637470721";"/gbcreque/status/1114470884637470721";"2019-04-06 10:12:19";1554545539;"Your role in the State Farm commercials is great.";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Your role in the <strong>State Farm</strong> commercials is great.</p>";"[]";"[]";False;"[]";"";0;0;0;False;True;"1114361766362984449";"[{'screen_name': 'CP3', 'user_id': '53853197'}]"
"gbcreque";"Geri Creque";"237177347";"1114470884637470721";"/gbcreque/status/1114470884637470721";"2019-04-06 10:12:19";1554545539;"Your role in the State Farm commercials is great.";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Your role in the <strong>State Farm</strong> commercials is great.</p>";"[]";"[]";False;"[]";"";0;0;0;False;True;"1114361766362984449";"[{'screen_name': 'CP3', 'user_id': '53853197'}]"
