"screen_name";"username";"user_id";"tweet_id";"tweet_url";"timestamp";"timestamp_epochs";"text";"text_html";"links";"hashtags";"has_media";"img_urls";"video_url";"likes";"retweets";"replies";"is_replied";"is_reply_to";"parent_tweet_id";"reply_to_users"
"williamcthomson";"William Thomson";"271474483";"725337083078803457";"/williamcthomson/status/725337083078803457";"2016-04-27 14:53:31";1461768811;"State Farm is at it again superhero style at the recent Comic Con event in Oaks PA.";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>State Farm</strong> is at it again superhero style at the recent Comic Con event in <strong>Oaks</strong> PA.</p>";"[]";"[]";False;"[]";"";0;0;0;False;False;"";"[]"
"sfoaks";"SF OAKS Toastmasters";"1862252246";"723102496537907200";"/sfoaks/status/723102496537907200";"2016-04-21 10:54:04";1461236044;"Step outside your comfort zone!

OAKS Toastmasters Club, 11:35 a.m. today, conference room HC06 at State Farm... http://fb.me/N719FMEe ";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Step outside your comfort zone!

<strong>OAKS</strong> Toastmasters Club, 11:35 a.m. today, conference room HC06 at <strong>State Farm</strong>... <a class=""twitter-timeline-link"" data-expanded-url=""http://fb.me/N719FMEe"" dir=""ltr"" href=""https://t.co/G0t3PaBnGW"" rel=""nofollow noopener"" target=""_blank"" title=""http://fb.me/N719FMEe""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">fb.me/N719FMEe</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>";"['http://fb.me/N719FMEe']";"[]";False;"[]";"";0;0;0;False;False;"";"[]"
"williamcthomson";"William Thomson";"271474483";"725337083078803457";"/williamcthomson/status/725337083078803457";"2016-04-27 14:53:31";1461768811;"State Farm is at it again superhero style at the recent Comic Con event in Oaks PA.";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>State Farm</strong> is at it again superhero style at the recent Comic Con event in <strong>Oaks</strong> PA.</p>";"[]";"[]";False;"[]";"";0;0;0;False;False;"";"[]"
"sfoaks";"SF OAKS Toastmasters";"1862252246";"723102496537907200";"/sfoaks/status/723102496537907200";"2016-04-21 10:54:04";1461236044;"Step outside your comfort zone!

OAKS Toastmasters Club, 11:35 a.m. today, conference room HC06 at State Farm... http://fb.me/N719FMEe ";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Step outside your comfort zone!

<strong>OAKS</strong> Toastmasters Club, 11:35 a.m. today, conference room HC06 at <strong>State Farm</strong>... <a class=""twitter-timeline-link"" data-expanded-url=""http://fb.me/N719FMEe"" dir=""ltr"" href=""https://t.co/G0t3PaBnGW"" rel=""nofollow noopener"" target=""_blank"" title=""http://fb.me/N719FMEe""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">fb.me/N719FMEe</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>";"['http://fb.me/N719FMEe']";"[]";False;"[]";"";0;0;0;False;False;"";"[]"
"sfoaks";"SF OAKS Toastmasters";"1862252246";"665573513596698624";"/sfoaks/status/665573513596698624";"2015-11-14 16:54:26";1447520066;"Mary J. Peterson carrying the banner for State Farm OAKS Toastmasters Club at the Toastmasters District 54 Fall.... http://fb.me/Ffo9FG2S ";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Mary J. Peterson carrying the banner for <strong>State Farm</strong> <strong>OAKS</strong> Toastmasters Club at the Toastmasters District 54 Fall.... <a class=""twitter-timeline-link"" data-expanded-url=""http://fb.me/Ffo9FG2S"" dir=""ltr"" href=""https://t.co/dPSKYCEUIT"" rel=""nofollow noopener"" target=""_blank"" title=""http://fb.me/Ffo9FG2S""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">fb.me/Ffo9FG2S</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>";"['http://fb.me/Ffo9FG2S']";"[]";False;"[]";"";0;0;0;False;False;"";"[]"
"JobsSacrament0";"Jobs in Sacramento";"2353045368";"651453885513465856";"/JobsSacrament0/status/651453885513465856";"2015-10-06 17:48:04";1444153684;"#Job #Sacramento Office Representative - State Farm Agent Team Member (Part Time / Sale (Fair Oaks): Position ... http://tinyurl.com/pkfs33b ";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Job?src=hash""><s>#</s><b>Job</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Sacramento?src=hash""><s>#</s><b>Sacramento</b></a> Office Representative - <strong>State Farm</strong> Agent Team Member (Part Time / Sale (Fair <strong>Oaks</strong>): Position ... <a class=""twitter-timeline-link"" data-expanded-url=""http://tinyurl.com/pkfs33b"" dir=""ltr"" href=""http://t.co/RkdaJKIUXi"" rel=""nofollow noopener"" target=""_blank"" title=""http://tinyurl.com/pkfs33b""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">tinyurl.com/pkfs33b</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>";"['http://tinyurl.com/pkfs33b']";"['Job', 'Sacramento']";False;"[]";"";0;0;0;False;False;"";"[]"
"sfoaks";"SF OAKS Toastmasters";"1862252246";"665573513596698624";"/sfoaks/status/665573513596698624";"2015-11-14 16:54:26";1447520066;"Mary J. Peterson carrying the banner for State Farm OAKS Toastmasters Club at the Toastmasters District 54 Fall.... http://fb.me/Ffo9FG2S ";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Mary J. Peterson carrying the banner for <strong>State Farm</strong> <strong>OAKS</strong> Toastmasters Club at the Toastmasters District 54 Fall.... <a class=""twitter-timeline-link"" data-expanded-url=""http://fb.me/Ffo9FG2S"" dir=""ltr"" href=""https://t.co/dPSKYCEUIT"" rel=""nofollow noopener"" target=""_blank"" title=""http://fb.me/Ffo9FG2S""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">fb.me/Ffo9FG2S</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>";"['http://fb.me/Ffo9FG2S']";"[]";False;"[]";"";0;0;0;False;False;"";"[]"
"JobsSacrament0";"Jobs in Sacramento";"2353045368";"651453885513465856";"/JobsSacrament0/status/651453885513465856";"2015-10-06 17:48:04";1444153684;"#Job #Sacramento Office Representative - State Farm Agent Team Member (Part Time / Sale (Fair Oaks): Position ... http://tinyurl.com/pkfs33b ";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Job?src=hash""><s>#</s><b>Job</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Sacramento?src=hash""><s>#</s><b>Sacramento</b></a> Office Representative - <strong>State Farm</strong> Agent Team Member (Part Time / Sale (Fair <strong>Oaks</strong>): Position ... <a class=""twitter-timeline-link"" data-expanded-url=""http://tinyurl.com/pkfs33b"" dir=""ltr"" href=""http://t.co/RkdaJKIUXi"" rel=""nofollow noopener"" target=""_blank"" title=""http://tinyurl.com/pkfs33b""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">tinyurl.com/pkfs33b</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>";"['http://tinyurl.com/pkfs33b']";"['Job', 'Sacramento']";False;"[]";"";0;0;0;False;False;"";"[]"
"MichelleKerfin";"Michelle Kerfin";"226334644";"1022291817491058688";"/MichelleKerfin/status/1022291817491058688";"2018-07-26 01:25:37";1532568337;"Come see us out at this event supporting Shady Oaks Camp!!!  Ashley Palmer and her family will there along with a big visit from the State Farm Good Neighbear!   #insurewithmichelle https://www.facebook.com/story.php?story_fbid=1791994520838180&id=129119417125707 …";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Come see us out at this event supporting Shady <strong>Oaks</strong> Camp!!!  Ashley Palmer and her family will there along with a big visit from the <strong>State Farm</strong> Good Neighbear!   <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/insurewithmichelle?src=hash""><s>#</s><b>insurewithmichelle</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""https://www.facebook.com/story.php?story_fbid=1791994520838180&amp;id=129119417125707"" dir=""ltr"" href=""https://t.co/NteStDkGCz"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.facebook.com/story.php?story_fbid=1791994520838180&amp;id=129119417125707""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">facebook.com/story.php?stor</span><span class=""invisible"">y_fbid=1791994520838180&amp;id=129119417125707</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";"['https://www.facebook.com/story.php?story_fbid=1791994520838180&id=129119417125707']";"['insurewithmichelle']";False;"[]";"";0;0;0;False;False;"";"[]"
"TowneOaksApt";"Towne Oaks";"889533443239018496";"1017055510804271106";"/TowneOaksApt/status/1017055510804271106";"2018-07-11 14:38:24";1531319904;"Towne Oaks Residents– who loves FREE BREAKFAST? Nicole Omo - State Farm will be here tomorrow at 7:00 am with taquitos and information about great & affordable insurance! Stop by the pool to see her and her wonderful staff plus... https://www.nicoleomo.com/?cmpid=ERWQ_BLM_0001 …";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Towne <strong>Oaks</strong> Residents– who loves FREE BREAKFAST? Nicole Omo - <strong>State Farm</strong> will be here tomorrow at 7:00 am with taquitos and information about great &amp; affordable insurance! Stop by the pool to see her and her wonderful staff plus... <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.nicoleomo.com/?cmpid=ERWQ_BLM_0001"" dir=""ltr"" href=""https://t.co/5s2NP3P1Mh"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.nicoleomo.com/?cmpid=ERWQ_BLM_0001""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">nicoleomo.com/?cmpid=ERWQ_BL</span><span class=""invisible"">M_0001</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";"['https://www.nicoleomo.com/?cmpid=ERWQ_BLM_0001']";"[]";False;"[]";"";0;0;0;False;False;"";"[]"
"CrowneOaksApts";"Crowne Oaks";"70413022";"1014152827868856320";"/CrowneOaksApts/status/1014152827868856320";"2018-07-03 14:24:10";1530627850;"Thanks SO much to Kristen Martin at State Farm for our yummy treats this morning!  #statefarm #crowneoaks #croaks #apartmentliving #liveatcrowne #crownepartners #starbucks @ Crowne Oaks… https://www.instagram.com/p/BkxdKv7n9pA/?utm_source=ig_twitter_share&igshid=w9osc6ed27e4 …";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Thanks SO much to Kristen Martin at <strong>State Farm</strong> for our yummy treats this morning! <img alt=""☕"" aria-label=""Emoji: Hot beverage"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/2615.png"" title=""Hot beverage""/> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/statefarm?src=hash""><s>#</s><b><strong>statefarm</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/crowneoaks?src=hash""><s>#</s><b>crowneoaks</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/croaks?src=hash""><s>#</s><b>croaks</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/apartmentliving?src=hash""><s>#</s><b>apartmentliving</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/liveatcrowne?src=hash""><s>#</s><b>liveatcrowne</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/crownepartners?src=hash""><s>#</s><b>crownepartners</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/starbucks?src=hash""><s>#</s><b>starbucks</b></a> @ Crowne <strong>Oaks</strong>… <a class=""twitter-timeline-link"" data-expanded-url=""https://www.instagram.com/p/BkxdKv7n9pA/?utm_source=ig_twitter_share&amp;igshid=w9osc6ed27e4"" dir=""ltr"" href=""https://t.co/2VPwnA5ilA"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.instagram.com/p/BkxdKv7n9pA/?utm_source=ig_twitter_share&amp;igshid=w9osc6ed27e4""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">instagram.com/p/BkxdKv7n9pA/</span><span class=""invisible"">?utm_source=ig_twitter_share&amp;igshid=w9osc6ed27e4</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";"['https://www.instagram.com/p/BkxdKv7n9pA/?utm_source=ig_twitter_share&igshid=w9osc6ed27e4']";"['statefarm', 'crowneoaks', 'croaks', 'apartmentliving', 'liveatcrowne', 'crownepartners', 'starbucks']";False;"[]";"";0;0;0;False;False;"";"[]"
"MichelleKerfin";"Michelle Kerfin";"226334644";"1022291817491058688";"/MichelleKerfin/status/1022291817491058688";"2018-07-26 01:25:37";1532568337;"Come see us out at this event supporting Shady Oaks Camp!!!  Ashley Palmer and her family will there along with a big visit from the State Farm Good Neighbear!   #insurewithmichelle https://www.facebook.com/story.php?story_fbid=1791994520838180&id=129119417125707 …";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Come see us out at this event supporting Shady <strong>Oaks</strong> Camp!!!  Ashley Palmer and her family will there along with a big visit from the <strong>State Farm</strong> Good Neighbear!   <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/insurewithmichelle?src=hash""><s>#</s><b>insurewithmichelle</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""https://www.facebook.com/story.php?story_fbid=1791994520838180&amp;id=129119417125707"" dir=""ltr"" href=""https://t.co/NteStDkGCz"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.facebook.com/story.php?story_fbid=1791994520838180&amp;id=129119417125707""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">facebook.com/story.php?stor</span><span class=""invisible"">y_fbid=1791994520838180&amp;id=129119417125707</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";"['https://www.facebook.com/story.php?story_fbid=1791994520838180&id=129119417125707']";"['insurewithmichelle']";False;"[]";"";0;0;0;False;False;"";"[]"
"TowneOaksApt";"Towne Oaks";"889533443239018496";"1017055510804271106";"/TowneOaksApt/status/1017055510804271106";"2018-07-11 14:38:24";1531319904;"Towne Oaks Residents– who loves FREE BREAKFAST? Nicole Omo - State Farm will be here tomorrow at 7:00 am with taquitos and information about great & affordable insurance! Stop by the pool to see her and her wonderful staff plus... https://www.nicoleomo.com/?cmpid=ERWQ_BLM_0001 …";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Towne <strong>Oaks</strong> Residents– who loves FREE BREAKFAST? Nicole Omo - <strong>State Farm</strong> will be here tomorrow at 7:00 am with taquitos and information about great &amp; affordable insurance! Stop by the pool to see her and her wonderful staff plus... <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.nicoleomo.com/?cmpid=ERWQ_BLM_0001"" dir=""ltr"" href=""https://t.co/5s2NP3P1Mh"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.nicoleomo.com/?cmpid=ERWQ_BLM_0001""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">nicoleomo.com/?cmpid=ERWQ_BL</span><span class=""invisible"">M_0001</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";"['https://www.nicoleomo.com/?cmpid=ERWQ_BLM_0001']";"[]";False;"[]";"";0;0;0;False;False;"";"[]"
"CrowneOaksApts";"Crowne Oaks";"70413022";"1014152827868856320";"/CrowneOaksApts/status/1014152827868856320";"2018-07-03 14:24:10";1530627850;"Thanks SO much to Kristen Martin at State Farm for our yummy treats this morning!  #statefarm #crowneoaks #croaks #apartmentliving #liveatcrowne #crownepartners #starbucks @ Crowne Oaks… https://www.instagram.com/p/BkxdKv7n9pA/?utm_source=ig_twitter_share&igshid=w9osc6ed27e4 …";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Thanks SO much to Kristen Martin at <strong>State Farm</strong> for our yummy treats this morning! <img alt=""☕"" aria-label=""Emoji: Hot beverage"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/2615.png"" title=""Hot beverage""/> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/statefarm?src=hash""><s>#</s><b><strong>statefarm</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/crowneoaks?src=hash""><s>#</s><b>crowneoaks</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/croaks?src=hash""><s>#</s><b>croaks</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/apartmentliving?src=hash""><s>#</s><b>apartmentliving</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/liveatcrowne?src=hash""><s>#</s><b>liveatcrowne</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/crownepartners?src=hash""><s>#</s><b>crownepartners</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/starbucks?src=hash""><s>#</s><b>starbucks</b></a> @ Crowne <strong>Oaks</strong>… <a class=""twitter-timeline-link"" data-expanded-url=""https://www.instagram.com/p/BkxdKv7n9pA/?utm_source=ig_twitter_share&amp;igshid=w9osc6ed27e4"" dir=""ltr"" href=""https://t.co/2VPwnA5ilA"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.instagram.com/p/BkxdKv7n9pA/?utm_source=ig_twitter_share&amp;igshid=w9osc6ed27e4""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">instagram.com/p/BkxdKv7n9pA/</span><span class=""invisible"">?utm_source=ig_twitter_share&amp;igshid=w9osc6ed27e4</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>";"['https://www.instagram.com/p/BkxdKv7n9pA/?utm_source=ig_twitter_share&igshid=w9osc6ed27e4']";"['statefarm', 'crowneoaks', 'croaks', 'apartmentliving', 'liveatcrowne', 'crownepartners', 'starbucks']";False;"[]";"";0;0;0;False;False;"";"[]"
