"screen_name";"username";"user_id";"tweet_id";"tweet_url";"timestamp";"timestamp_epochs";"text";"text_html";"links";"hashtags";"has_media";"img_urls";"video_url";"likes";"retweets";"replies";"is_replied";"is_reply_to";"parent_tweet_id";"reply_to_users"
"CaliBoyBiggs1";"David B. Biggs";"58868954";"583400992575627265";"/CaliBoyBiggs1/status/583400992575627265";"2015-04-01 22:50:10";1427928610;"""@jay_smOAK: I wonder how Chris Paul's ankles feelin today"" I hope that niggas ankles are insured by state farm wit clif Paul lol";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">""@jay_smOAK: I wonder how Chris Paul's ankles feelin today"" I hope that niggas ankles are insured by <strong>state farm</strong> wit clif Paul lol</p>";"[]";"[]";False;"[]";"";0;1;1;True;False;"";"[]"
"InOneInstantorg";"In One Instant";"433698035";"583332156119781376";"/InOneInstantorg/status/583332156119781376";"2015-04-01 18:16:38";1427912198;"@JoseSotoSF Your neighborhood grants is an Amazing program! We've gotten State Farm grants in past. We  State Farm! Thank U!";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""44797860"" dir=""ltr"" href=""/JoseSotoSF""><s>@</s><b>JoseSotoSF</b></a> Your neighborhood grants is an Amazing program! We've gotten <strong>State Farm</strong> grants in past. We <img alt=""💗"" aria-label=""Emoji: Growing heart"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f497.png"" title=""Growing heart""/> <strong>State Farm</strong>! Thank U!</p>";"[]";"[]";False;"[]";"";0;0;0;False;False;"";"[]"
"Jaime_Rojas";"Jaime Rojas, Jr.";"21209166";"583306196729368576";"/Jaime_Rojas/status/583306196729368576";"2015-04-01 16:33:29";1427906009;"Listing to corporate best practices on philanthropy! #Disney #Edision #StateFarm @ The California… https://instagram.com/p/08Gz9pQKe9/ ";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Listing to corporate best practices on philanthropy! <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Disney?src=hash""><s>#</s><b>Disney</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Edision?src=hash""><s>#</s><b>Edision</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/StateFarm?src=hash""><s>#</s><b><strong>StateFarm</strong></b></a> @ The California… <a class=""twitter-timeline-link"" data-expanded-url=""https://instagram.com/p/08Gz9pQKe9/"" dir=""ltr"" href=""https://t.co/vf7vr9Unw4"" rel=""nofollow noopener"" target=""_blank"" title=""https://instagram.com/p/08Gz9pQKe9/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">instagram.com/p/08Gz9pQKe9/</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>";"['https://instagram.com/p/08Gz9pQKe9/']";"['Disney', 'Edision', 'StateFarm']";False;"[]";"";1;0;0;False;False;"";"[]"
"RealRyanMiguel";"Ryan Miguel";"1002348254";"583295421121978368";"/RealRyanMiguel/status/583295421121978368";"2015-04-01 15:50:40";1427903440;"I dont think @statefarm covers broken ankles tho! @stephencurry30 @cp3 @warriors #rip… https://instagram.com/p/08B6U8IbEr/ ";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I dont think <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""15091022"" dir=""ltr"" href=""/StateFarm""><s>@</s><b><strong>statefarm</strong></b></a> covers broken ankles tho! <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""42562446"" dir=""ltr"" href=""/StephenCurry30""><s>@</s><b>stephencurry30</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""53853197"" dir=""ltr"" href=""/CP3""><s>@</s><b>cp3</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""26270913"" dir=""ltr"" href=""/warriors""><s>@</s><b>warriors</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/rip?src=hash""><s>#</s><b>rip</b></a>… <a class=""twitter-timeline-link"" data-expanded-url=""https://instagram.com/p/08B6U8IbEr/"" dir=""ltr"" href=""https://t.co/uLD7mM4ciV"" rel=""nofollow noopener"" target=""_blank"" title=""https://instagram.com/p/08B6U8IbEr/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">instagram.com/p/08B6U8IbEr/</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>";"['https://instagram.com/p/08B6U8IbEr/']";"['rip']";False;"[]";"";0;0;0;False;False;"";"[]"
"YoungKeefy";"K-Beezy";"1554957972";"583122762979389440";"/YoungKeefy/status/583122762979389440";"2015-04-01 04:24:35";1427862275;"CP gotta ask Steph to either catch a friendly or remove him 4rm the state farm commercials Lol.";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">CP gotta ask Steph to either catch a friendly or remove him 4rm the <strong>state farm</strong> commercials Lol.</p>";"[]";"[]";False;"[]";"";0;1;0;False;False;"";"[]"
"_BOWAH";"E*****O";"29336172";"583115161185095680";"/_BOWAH/status/583115161185095680";"2015-04-01 03:54:22";1427860462;"State farm gonna have to start covering broken ankles";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>State farm</strong> gonna have to start covering broken ankles</p>";"[]";"[]";False;"[]";"";0;0;0;False;False;"";"[]"
"welcometonezone";"thank you Kobe 💜💛";"21912784";"583093814409207808";"/welcometonezone/status/583093814409207808";"2015-04-01 02:29:33";1427855373;"Not even a Clippers fan but this jersey is dope. S/O to Cliff Paul and the fine folks at @StateFarm… https://instagram.com/p/06mOybp5G7/ ";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Not even a Clippers fan but this jersey is dope. S/O to Cliff Paul and the fine folks at <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""15091022"" dir=""ltr"" href=""/StateFarm""><s>@</s><b><strong>StateFarm</strong></b></a>… <a class=""twitter-timeline-link"" data-expanded-url=""https://instagram.com/p/06mOybp5G7/"" dir=""ltr"" href=""https://t.co/iZ5I7RIyk8"" rel=""nofollow noopener"" target=""_blank"" title=""https://instagram.com/p/06mOybp5G7/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">instagram.com/p/06mOybp5G7/</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>";"['https://instagram.com/p/06mOybp5G7/']";"[]";False;"[]";"";0;0;0;False;False;"";"[]"
"farrahhrose";"spicy snowball";"96532913";"583030668210237440";"/farrahhrose/status/583030668210237440";"2015-03-31 22:18:38";1427840318;"like a good neighborrrrr State Farm is there withsomeoneformetomakeoutwithhhhh";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">like a good neighborrrrr <strong>State Farm</strong> is there withsomeoneformetomakeoutwithhhhh</p>";"[]";"[]";False;"[]";"";2;0;0;False;False;"";"[]"
"toddsteinhauer";"Todd Steinhauer";"237638962";"582439310374227968";"/toddsteinhauer/status/582439310374227968";"2015-03-30 07:08:47";1427699327;"I wish this was #StateFarm so they could cut a version w/a mini @dennisdoddcbs on the court w/@AaronRodgers12 http://youtu.be/pAAvZURxFFw ";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I wish this was <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/StateFarm?src=hash""><s>#</s><b><strong>StateFarm</strong></b></a> so they could cut a version w/a mini <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""78140378"" dir=""ltr"" href=""/dennisdoddcbs""><s>@</s><b>dennisdoddcbs</b></a> on the court w/<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""130997057"" dir=""ltr"" href=""/AaronRodgers12""><s>@</s><b>AaronRodgers12</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""http://youtu.be/pAAvZURxFFw"" dir=""ltr"" href=""http://t.co/4QieeqbK3b"" rel=""nofollow noopener"" target=""_blank"" title=""http://youtu.be/pAAvZURxFFw""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">youtu.be/pAAvZURxFFw</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>";"['http://youtu.be/pAAvZURxFFw']";"['StateFarm']";False;"[]";"";0;0;0;False;False;"";"[]"
"trevorkemngang";"Trev🔌";"3100875382";"582282954908438528";"/trevorkemngang/status/582282954908438528";"2015-03-29 20:47:29";1427662049;"""Who's Jessica""
""Jessica from state farm""
""She sent a booty pic""
""Great customer service""";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">""Who's Jessica""
""Jessica from <strong>state farm</strong>""
""She sent a booty pic""
""Great customer service""</p>";"[]";"[]";False;"[]";"";0;0;0;False;False;"";"[]"
