"screen_name";"username";"user_id";"tweet_id";"tweet_url";"timestamp";"timestamp_epochs";"text";"text_html";"links";"hashtags";"has_media";"img_urls";"video_url";"likes";"retweets";"replies";"is_replied";"is_reply_to";"parent_tweet_id";"reply_to_users"
"LifeIsArtFest";"Life Is Art, Inc.";"635534457";"582934407171932161";"/LifeIsArtFest/status/582934407171932161";"2015-03-31 15:56:07";1427817367;"@SocialMedia305 @JoseSotoSF @StateFarm what are we missing?  #anxiouslyawaiting";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""129093734"" dir=""ltr"" href=""/SocialMedia305""><s>@</s><b>SocialMedia305</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""44797860"" dir=""ltr"" href=""/JoseSotoSF""><s>@</s><b>JoseSotoSF</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""15091022"" dir=""ltr"" href=""/StateFarm""><s>@</s><b><strong>StateFarm</strong></b></a> what are we missing? <img alt=""😆"" aria-label=""Emoji: Smiling face with open mouth and tightly-closed eyes"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f606.png"" title=""Smiling face with open mouth and tightly-closed eyes""/> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/anxiouslyawaiting?src=hash""><s>#</s><b>anxiouslyawaiting</b></a></p>";"[]";"['anxiouslyawaiting']";False;"[]";"";1;1;0;False;True;"582728132064645120";"[{'screen_name': 'SocialMedia305', 'user_id': '129093734'}]"
"_QueenCarlie";"Carlie ❤️";"98040233";"578417453564338177";"/_QueenCarlie/status/578417453564338177";"2015-03-19 04:47:22";1426740442;"""What are you wearing jake from statefarm""
""uhh khakis..""
""she sounds hideous ""

bruhh I cry every time ";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">""What are you wearing jake from <strong>statefarm</strong>""
""uhh khakis..""
""she sounds hideous <img alt=""😒"" aria-label=""Emoji: Unamused face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f612.png"" title=""Unamused face""/>""

bruhh I cry every time <img alt=""😂"" aria-label=""Emoji: Face with tears of joy"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f602.png"" title=""Face with tears of joy""/><img alt=""😂"" aria-label=""Emoji: Face with tears of joy"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f602.png"" title=""Face with tears of joy""/><img alt=""😭"" aria-label=""Emoji: Loudly crying face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f62d.png"" title=""Loudly crying face""/><img alt=""😭"" aria-label=""Emoji: Loudly crying face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f62d.png"" title=""Loudly crying face""/><img alt=""😭"" aria-label=""Emoji: Loudly crying face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f62d.png"" title=""Loudly crying face""/></p>";"[]";"[]";False;"[]";"";0;1;0;False;False;"";"[]"
"JakeCapano";"Jake Capano";"1495434313";"578382822085292032";"/JakeCapano/status/578382822085292032";"2015-03-19 02:29:45";1426732185;"But nobody wants to listen to ol' Statefarm";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">But nobody wants to listen to ol' <strong>Statefarm</strong></p>";"[]";"[]";False;"[]";"";0;0;0;False;False;"";"[]"
"JakeCapano";"Jake Capano";"1495434313";"577269356075216896";"/JakeCapano/status/577269356075216896";"2015-03-16 00:45:14";1426466714;"Someone snap me; king_statefarm";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Someone snap me; king_<strong>statefarm</strong></p>";"[]";"[]";False;"[]";"";0;0;0;False;False;"";"[]"
"Lordgabs_";"...";"774973560";"576989997888196608";"/Lordgabs_/status/576989997888196608";"2015-03-15 06:15:10";1426400110;"“@_ThatkidZach: @Lordgabs_ then fill me in? ” I don't think so jake from State Farm !!";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">“<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""875414658"" dir=""ltr"" href=""/_ThatkidZach""><s>@</s><b>_ThatkidZach</b></a>: <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""774973560"" dir=""ltr"" href=""/Lordgabs_""><s>@</s><b>Lordgabs_</b></a> then fill me in? <img alt=""📝"" aria-label=""Emoji: Memo"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f4dd.png"" title=""Memo""/><img alt=""😎"" aria-label=""Emoji: Smiling face with sunglasses"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f60e.png"" title=""Smiling face with sunglasses""/>” I don't think so jake from <strong>State Farm</strong> !!</p>";"[]";"[]";False;"[]";"";0;0;1;True;True;"576984298126905344";"[{'screen_name': '_ThatkidZach', 'user_id': '875414658'}]"
"Natreid305";"Natalie Reid";"353502694";"576817438798553088";"/Natreid305/status/576817438798553088";"2015-03-14 18:49:28";1426358968;"Learning from my dear friend and mentor State Farm Agent Lakitsia Gaines at a Bank and Retirement… https://instagram.com/p/0OAEQVvadQ/ ";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Learning from my dear friend and mentor <strong>State Farm</strong> Agent Lakitsia Gaines at a Bank and Retirement… <a class=""twitter-timeline-link"" data-expanded-url=""https://instagram.com/p/0OAEQVvadQ/"" dir=""ltr"" href=""https://t.co/YycicTzGdw"" rel=""nofollow noopener"" target=""_blank"" title=""https://instagram.com/p/0OAEQVvadQ/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">instagram.com/p/0OAEQVvadQ/</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>";"['https://instagram.com/p/0OAEQVvadQ/']";"[]";False;"[]";"";4;0;0;False;False;"";"[]"
"JakeCapano";"Jake Capano";"1495434313";"575111619652403200";"/JakeCapano/status/575111619652403200";"2015-03-10 01:51:09";1425952269;"Someone snapchat me; king_statefarm";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Someone snapchat me; king_<strong>statefarm</strong></p>";"[]";"[]";False;"[]";"";0;0;0;False;False;"";"[]"
"gdoobz";"gabi 🧿";"450899202";"572215418997370881";"/gdoobz/status/572215418997370881";"2015-03-02 02:02:41";1425261761;"""what are you wearing Jake for State Farm""";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">""what are you wearing Jake for <strong>State Farm</strong>""</p>";"[]";"[]";False;"[]";"";0;0;0;False;False;"";"[]"
"JakeCapano";"Jake Capano";"1495434313";"572145101704601600";"/JakeCapano/status/572145101704601600";"2015-03-01 21:23:16";1425244996;"Someone snap chat me; king_statefarm";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Someone snap chat me; king_<strong>statefarm</strong></p>";"[]";"[]";False;"[]";"";0;0;0;False;False;"";"[]"
"JakeCapano";"Jake Capano";"1495434313";"570784850157772801";"/JakeCapano/status/570784850157772801";"2015-02-26 03:18:07";1424920687;"Snapchat; king_statefarm";"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Snapchat; king_<strong>statefarm</strong></p>";"[]";"[]";False;"[]";"";0;0;0;False;False;"";"[]"
